final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7017236: Does your gaming make you a better team player? How?
20,TRUE,2,Most of the time,"The Finals,Apex Legends,Marvel Rivals,Fifa,Chess","No, it may make me better as a team player in video games specifically, but I do not think that necessarily translates to real life."
94,TRUE,1,Some of the time,"Warzone,Rocket League,Fortnite,Minecraft,Moral Kombat","Yes, since you understand what roles to play and don't have to focus on every aspect of the game - just the part you're good at."
75,TRUE,7,Some of the time,"League of Legends,Minecraft,Valorant,Project Zomboid,Valheim","In my experience, people who play competitive team games (CS:GO, LoL, Valorant, etc) become jaded and distrustful of their team members unless they are already friends. I have, however, learned the importance of teamwork from these games. I will, of course, do my best to be a great team player during this class."
83,TRUE,4,Most of the time,"World of Warcraft,Stellaris,Palworld,Dragon Age: Veilguard,Phasmophobia","I think it does. Typically in any survival game I play with my friends, we tend to all have our own specific tasks to build the base. I typically am a gatherer/builder for instance, acquiring resources and providing facilities to craft and make the most powerful items, Doesn't mean I never go fight and use the items I built, but this tends to be my main role. It plays to my strengths, and so I tend to perform better in these fields than my friends. Now, we don't always work together. Sometimes my resources I was gathering for something specific is used up for someone else to make their own tools. This usually occurs due to lack of communication. So, while my toes may have been stepped on, we then work together to help with each task, so in a way it all works out. To summarize, I think my gaming experience has made me capable of performing in a team environment, but there is always room for improvement"
32,TRUE,2,Always,"Valorant,Fortnite,Clash Royale,Black Ops ,Overwatch","Yes, gaming creates a better communication with other players by determining strategies and working together to achieve a goal."
72,TRUE,5,Most of the time,"Overwatch,Marvel Rivals,God of War,Ghost of Tsushima,fifa","I believe my gaming makes me a better team player. For example, playing Rivals or Overwatch there are 6 players on each team with different roles such as a tank, damage, or support. The characters you choose are a big part of the game since all these roles create a sense of balance. Not to mention when actually playing the game you must know where your team is wether they are alive or if your team is pushing in to fight. You have to be coordinated with your attacks to avoid being singled out by the other team as well as be aware of your position in the battle field. Not only visualizing but communicating these actions helps the team be both offensively and defensively dominant."
83,TRUE,4,Most of the time,"Minecraft,Factorio,League of Legends,Helldivers 2,Stardew Valley",I believe gaming does make me a better team player because gaming requires you to cooperate with your teammates for a collective goal. It also makes me a better team player because it also requires communication and strategy.
62,FALSE,0,Some of the time,"Stardew,Minecraft,TLOU2,,",
88,FALSE,,,,
81,TRUE,4,Most of the time,"Space Marine 2,Destiny 2,Rocket League,Rainbow 6: Siege,Baldur's Gate 3","I think that it does, since it forces me to communicate and cooperate with other people. We are all doing different things but working towards the same goal."
85,TRUE,7,Half of the time,"Hearts Of Iron IV,Imperator: Rome,Crusader Kings III,Halo: The Master Chief Collection,Counter-Strike 2","Well when playing competitive multiplayer games, effective communication between you and your teammates gives a major advantage if your opposing team doesn't have the same communication. Additionally, it allows you to execute strategies that you might not be able to do without teammates."
89,TRUE,3,Half of the time,"Call of Duty,Overwatch,Stardew Valley,Terraria,Factorio","It does, It helps with communication and expressing ideas. Especially with games like overwatch. There's often a team lead who defines overall strategies; Working with teammates individually on how to synergize plays a localized role for specific situations and objectives. "
98,TRUE,3,Some of the time,"Minecraft,The Legend of Zelda,Genshin Impact,Stardew Valley,Mario Kart","Yes! When working in teams and delegating roles, it is important to discuss and consider the strong suits and weaknesses of other players; in Minecraft, some people both prefer and are better at mining and combat, while others prefer and have an affinity to build and create. From playing with others, I have learned that it is most productive to be honest and upfront about my own abilities, and that often encourages my teammates to do the same. "
85,TRUE,7,Most of the time,"World of warcraft,League of legends,Minecraft,Counter Strike,Rainbow six","Gaming has helped me recognize how my role fits into a team environment. It has also taught me communication skills with others. While my team has the same goal overall, how we accomplish that is different. Gaming has also given me better understanding of my team members and why they may make the decisions they do."
84,TRUE,5,Half of the time,"Heros of hammerwatch 2,Marvel rivals,Terraria,The Finals,satisfactory","I would say so, both in the competitive games and the survival/sandbox games teamwork plays a big role. it is very different kind of teamwork in the different types of games. splitting up tasks to do in the survival games is very help full, and in the competitive games, all focusing on the same goal or player helps too."
81,TRUE,6,Always,"Rocket Leauge,Call of Duty (competitve)),Rainbow 6 Siege,Valorant,Marvel Rivals",I believe gaming did help me improve my communication skills and in general a better team player. I say this because I play with people I've never met in person all the time daily. Despite us not knowing each other all that well. We are able to build team chemistry in order to find a way to play the game that works for us and helps us be successful. So whether it is me or someone else on the team. We often find ourselves stepping up when we need to (while also improving on your own time). Also compromising when we need to. Sometimes we want to make the hero play to show our great skills but at times we are blind to how that's negatively effecting our team. I like to keep a philosophy of balance between the two when it comes to the game and life in general.
95,TRUE,3,Some of the time,"Pokemon Scarlet,Stardew Valley,Animal Crossing,,","Yes - in Pokemon you can do ""group raids"" where the team has to have a strategy, each member usually having a different role. This helps with teamwork because I can learn that it uses a different strategy than when working alone."
72,FALSE,0,Never,,
94,FALSE,,,,
83,TRUE,7,Most of the time,"Rainbow Six Siege,league of legends,Team Fight Tactics,Dark and Darker,Assassins Creed",I believe it does because I have learned how to critique others without being mean and annoying. I have also learned how to navigate a team to work together.
87,TRUE,7,Most of the time,"Teamfight Tactics,Path of Exile 2,League of Legends,Warcraft III,Minecraft","In a sense, it’s helped me a lot with confrontation and emotional regulation. League of Legends gets a lot of emotions going, so when I get unreasonably angry at my teammates I can always take a step back and analyze the situation and try to come up with solutions. Of course, they never follow my calls and end up calling me some sort of slur or bad word but I believe it’s the thought that counts. I also don’t mind backtracking in Path of Exile 2 in order to help my guild members get past places where they might be struggling, and I enjoy sharing what I’ve learned about the game with them."
82,TRUE,6,Half of the time,"World of Warcraft,Rust,Overwatch,Heroes of the Storm,Any Dark Souls Game","In some games yes, most team games are designed to be played, well, as a team. And so attempting to go it alone or without at least a plan with your team members usually ends poorly."
85,TRUE,2,Most of the time,"Fortnite ,Apex ,Marvel Rivals ,Assassins Creed,","I believe a lot of team games require effective communication throughout the entire game in order to win. This can be translated to a lot of team building aspects where communication is key in achieving the same end goal. Due to this, I believe gaming makes me a better team player. "
80,TRUE,1,Most of the time,"Minecraft,Counter strike,Baldurs gate,Pavlov,","Yes, learning to effectively communicate"
28,TRUE,7,Some of the time,"roblox,minecraft,stardew valley,hollow knight,a hat in time",it depends on the game because some although may be a team game it can cause more tension between players than helping while others encourage positive team play like the game journey
72,TRUE,7,Most of the time,"Escape from Tarkov,Valorant,Minecraft,,","Yes, it makes you understand the value of teams and what team efforts look like."
88,TRUE,4,Half of the time,"Halo,Baldur's Gate 3,Doom Eternal,Warhammer 40\,000: Space Marine 2,Minecraft","I think gaming has overall made me a better team player, but not entirely. When I play games, I play for fun, rather than to work as a well oiled machine (Though I have previously) a little bit of chaos can cause a good laugh even if it derails the team a little. But I find that gaming as a team has improved my communication skills, my aptitude for unique problem solving, as well as conflict prevention (Sometimes it's okay to step away for a while, I'd rather be down a teammate for the evening, so a teammate can decompress and take a step back for perspective,  than deal with someone who can't manage their emotions and thinks that the best way to solve a problem is to crash into it until they have a eureka moment, as that just brings the team down). Essentially, gaming as a team has helped me be able to make sure that everyone on a team is equipped, ready, and wanting to be there, including myself."
86,TRUE,5,Most of the time,"ARK Survival Evolved ,ARK Survival Ascended,Black Ops 2 Zombies,Rocket League,Other Call Of Duties","Oh certainly, especially when it comes to playing ARK. ARK is a game of tribes that work together to build bases and conquer servers by raiding other tribes. It is highly competitive and I used to play a lot with my friends. These days I find myself playing alone as they don't like the newer version of the game that was released. Honestly, I don't blame them. This game is absolutely terrible compared to the original. With this new adaptation, I find myself struggling in many aspects. Currently, I am playing on servers that allow tribes of 6 and I am alone and although I am still efficient, I am realizing how much MORE efficient I could be if I had my tribemates playing with me. Everything is ten times harder when playing alone and having this realization allows me to understand the value of teamwork. Together we can accomplish seemingly anything and at much higher efficiency. Alone, I feel limited and slow."
86,FALSE,,,,
81,TRUE,5,Half of the time,"Ghost runner,Apex legends,Call of Duty,Black myth wukong,Ghost of Tsushima","I learned to summarize much more quickly since I need to say what's going on as swiftly and precisely as possible so we don't get destroyed in Apex.

I learned to weigh risk to reward since I don't have to take every single fight, by looking at factors such as distance, if we are in a bad position such as low ground or open space, how close we are to other areas of interest (where other teams might most likely be) so we don't get ambushed"
76,TRUE,3,Half of the time,"Fortnite,Counter Stike,Escape From Tarkov,Elden ring,Project Zomboid","Yes, I think it helps with learning to use efficient communication."
92,TRUE,2,Most of the time,"Fortnite,Rocket League,Stardew Valley,Plate Up!,Core Keeper","Yes, gaming has taught me how to listen to my team mate's needs, even when not specifically mentioned. I often am the person going back to revive other team mates as I feel a full team will be more successful."
76,FALSE,,,,
46,TRUE,2,Most of the time,"Muck,Helldivers 2,Minecraft,Ultimate Chicken Horse,God of War Ragnarok",Yes. It makes me cooperate peacefully with others. It is the practise of enjoying working in a team. 
33,TRUE,5,Always,"Satisfactory,Deadlock,World of Warcraft,Chivalry 2,Counter Strike","I think it does. Most of the time I play competitive team games, which has taught me a lot about working together. Its helped me realize the importance of good communication first and foremost, it can be frustrating when people refuse to communicate or result to arguing - which regardless of what you're working towards definitely hinders you getting there. It also has helped me learn that while it may not be better to avoid arguments, its good to get through them and remind yourself that you are all there for the same common goal and need to stick together."
80,FALSE,0,Some of the time,",Minecraft,,,",I’ve tried playing minecraft and it was a relief game 
98,TRUE,4,Never,"Monster Hunter,Crusader Kings 2,Pokémon,Planet Zoo,Fate/Grand Order","Realistically, it probably doesn't. I pretty much only play single-player because one of the things I like about gaming is the ability to be in control of the experience. Mind you, I have ended up being pretty good at planning off of stuff like wikis (using the knowledge of other people to my advantage)."
84,FALSE,,,,
4,FALSE,0,,,
75,TRUE,6,Most of the time,"Fortnite,Call of Duty,Gta 5,Spiderman 2,Marvel Rivals",Yes because Ive learned over the years to collaborate and not give up or miscommunicate with my team in order to succeed in many games. Including GTA 5 missions where if one person messes up then the whole team has to restart.
74,FALSE,3,Some of the time,"Roblox,Sonic,Chess,Diep.io,",Sure because you know your roles and what you're supposed to do. 
81,TRUE,6,Most of the time,"Rocket league,Marvel Rivals,Cyberpunk 2077,Fortnite,Elden Ring","Gaming in a team setting makes you a better team player because you learn to cooperate/work with other players with different skill sets, interests, and gaming styles to complete the same objective "
87,TRUE,4,Some of the time,"Tomadachi Life,Sonic the Hedgehog 3,Mario Kart 7,Wii Sports Resort,Garry's Mod",I primarily stick with single player experiences. I've never played a video game with anyone who isn't my sibling.
85,TRUE,5,Some of the time,"Rainbow Six Siege,NBA 2k,Valorant,Escape from Tarkov,N/A",I think it helps with communication; it also helps with being able to work through issues or struggles in a productive manner.
86,TRUE,1,Half of the time,"Destiny 2,Call of Duty,Madden,ARK,GTA",I would say gaming has improved my ability to communicate clearly. A lot of times you have to be able to explain something in a game through a mic. You have to be able to articulate yourself well enough to accurately convey your ideas because you lack that physical aspect of the conversation. You are not able to use hand expressions or read facial expressions so you need to take a little more in the way you use your words. 
96,FALSE,,,,
86,TRUE,7,Some of the time,"World of Warships,Titanfall 2,Helldivers 2,Assetto Corsa,Mirror's Edge","I usually cannot stand playing on teams because nobody online is willing to compromise or listen and it becomes a pissing match. I have always worked best alone and will likely attempt to continue to do that, because if I'm good enough to do it on my own I don't think I should have to carry others."
78,FALSE,0,Never,,
94,FALSE,,,,
94,TRUE,7,Half of the time,"Terraria,Rainbow Six Siege,Warframe,Fallout 4,Fortnite","I think gaming does make you a better team player if you are actively putting effort into the team. If you are playing on a team but you do not assist your teammates or make decisions based on the teams benefit, then I do not think you will become a better team player. However, if you are actively contributing to the team I think it can greatly increase teamwork skills."
89,FALSE,,,,
75,TRUE,5,Half of the time,"college football 25 ,nbc 2k25,call of duty ,madden 25 ,Fortnite",Yes it does because you can learn how to communicate with your teammates you can play around your team there are certain strength that you can bring that might be someone else's weakness and vise-versa. the longer you play with the same team the more chemistry everyone ha with each other.
96,TRUE,4,Always,",Sea of thieves,,,","Since playing in a team, I’ve learned more patience and confidence. Everybody on my team has their strengths and weaknesses, and so patience is a key. It taught me these things and made me a better team player because I am more involved. "
37,TRUE,4,Most of the time,"league,cod,fortnite,apex,marvel legends","i think so, goes a long way in terms of being able to effectively communicate in a timely manner"
98,TRUE,6,Half of the time,"The Finals,Single-player games,Fortnite,Super Smash Bros.,Fall Guys","Yes it does. Being able to adapt depending on who I'm playing with based on their skills and personalities. For example, if my teammate and I prefer playing with the same character, but I am also skillful with at least one other character while my teammate isn't, then I'll select that other character in order to keep my teammate comfortable. This also allows us to not compromise the strength of the team. The key is figuring out our chemistry and what makes us strong as a team."
-1,TRUE,4,Most of the time,"Marvel Rivals,Smite 2,Minecraft,Dragon Ball Fighters Z,Pokemon Scarlet and Violet","Yes. In most cases, I am either the person in control of my decision making, whose impact defines my success as an individual and a team player. While I prefer to play on my own and be the sole contributor to my success, I put myself on the role of a supervisor and supporter make sure the team can catch up with my ambitions. Especially as gaming is often a pastime I get to share with friends and family."
-1,FALSE,,,,
90,TRUE,5,Some of the time,"Rainbow six siege,Red Dead Redemtion,Call of Duty,Darkest Dungeon,Dark souls",There are many games that I play that completely rely on working in a team. I would say this requirement to communicate and strategize with a group of people definitely translates to the real world.
86,TRUE,5,Most of the time,"Marvel Rivals,Rocket League,Counter Strike 2,League of Legends,BeamNG Drive","I feel like it does. It promotes clear and concise thought and communication. Two very valuable skills to have when working in a team.

Gaming also forces teamwork with people that have different approaches to problem solving."
88,FALSE,0,Never,"Pokemon,Pokemon,Pokemon,Pokemon,Pokemon","N/A, see question 1"
96,FALSE,,,,
83,TRUE,2,Some of the time,"Elden RIng,Helldivers 2,Space Marine 2,Armoured Core ,Total War Warhammer 3",I believe so as it has taught me to communicate and work as a team along side my military and fire service careers
78,TRUE,2,Never,"Stardew Valley,Europa Universalis IV,Stellaris,Cities Skylines,Kenshi","I don't really play multiplayer games anymore, however when I did play PVP first-person shooter games, each member had their own role. We all needed to work together and leverage our different strengths in order to succeed and not die. "
25,TRUE,6,Most of the time,"Fortnite,Marvel RIvals,Valorant,Helldivers,Animal Crossing","I believe it does, it helps with communication. I feel I can express myself in a higher manner when communicating with teammates in a competitive setting."
89,TRUE,3,Half of the time,"Marvel Rivals,Valorant,,,","I think it does, it makes me more patient when teaching and also communicating with other people."
76,TRUE,1,Some of the time,"GTA 5,COD bo6,Chess,steep,nba 2k",Yes it does make you a better team player as working in a team in a game emulates a real life experience where people have specific roles to take care of. This can make you a better team player because you understand the importance of teamwork. 
78,TRUE,2,Most of the time,"The Finals,Counter Strike,Black ops 2,gang beasts,stick fight","It does. When I was a true gamer, during covid, I would play a lot of counter strike and that is a game that requires a lot of teamwork. Where if the team isn't working together then you will not the win the game, most of the time. Sometimes players have insane games where they can put the team on their back but that doesn't happen often. I've found that the more I supported the team the more we would win. So I have tried to apply that to real life more, where I try and fill a necessary role that will help the team. If that is doing the grunt work that the rest of the team doesn't want to do or a leadership position. I am willing to step into whatever roles are thrust on me and I think that comes from the experience as a gamer. "
92,TRUE,4,Some of the time,"Helldivers 2,Elden Ring,Doom Eternal,Star Wars Battlefront II,Halo (all)","Gaming helps with awareness of situation or circumstance. For example, in games with imminent danger or threats, I am watching my teammates' back aside from just mine, and they do the same to me as a result."
87,TRUE,6,Half of the time,"GTA V,Path of Exile 2,Left for Dead 2,Fortnite,UNO - Steam","I don't think that my gaming necessarily makes me a better team player, since I'm just playing with friends and the ultimate goal is having a fun time and laughing rather than reaching some finish line. Although, I do keep the teams well being in mind, and if there is something easy I can do to better the team, I do it. "
85,TRUE,3,Always,"Call Of Duty Bo6,OuterWorlds,Rainbow Six,Elden RIng,Mortal Kombat",This is debatable but it does as working together in teams usually results in better results rather than arguing within a team. I have the skills to work with a team and improve our chances of success 
90,TRUE,4,Half of the time,"Tetris 99,Fortnite,Rocket League,Super Smash Brothers,The Legend of Zelda","Gaming definitely makes me a better team player. For example, in a game like Fortnite, I can decide to hold certain items in my inventory that benefit the whole team rather than just myself. I also can decide to give up some of my own items that I know my teammates need. In addition, gaming also helps with communication and teamwork. There have been many times where my team and I will spend time discussing a strategy to win the game."
73,TRUE,6,Most of the time,"COD BO6,NBA 2k,Fortnite,Far Cry 6/New Dawn,GTA V","Gaming absolutely makes you a better team player. When you game with others you objectives remains the same and everyone wants to get better at games so you begin to learn strategies to win more games. For NBA 2k especially you are one player on a court of 10 people and you wont always be touching the ball. We play in the Rec so its 5v5 basketball and if you don't work well with your teammates the lanes get clogged so its hard to score and teams figure you out so you get doubled and sometimes triple teamed quickly if you ball hog. In order to win and have fun you must work with others, communicate and sacrifice other things to enjoy the experience otherwise the game feels unplayable. For other games on my list like COD or Fortnite you could play solo however I have reached the point where having a good game isn't as fun as working in a team with friends to complete the objective. "
57,TRUE,2,Never,"Zelda: tok,Hollow Knight,9 sols,metroid prime,mario odessey","My gaming is rarely if ever team-based, with the possible exception of trying to come up with optimal routes to defeat bosses quickly in games like Hollow Knight. Given this, I don't think my gaming contributes to my preparedness for team projects."
85,TRUE,4,Most of the time,"call of duty,league of legends,red dead redemption,sims 4,sim city",Yes. Working as a team helps you better your chances of winning then going solo.
29,FALSE,,,,
94,TRUE,7,Most of the time,"EAFC,League of Legends,GTA 5,Valorant,Teamfight Tactics","Yea, it helps me learn how to communicate shortly and effectively. It has helped me be able to get rid of unneeded information and tell what is needed to be known shortly but precisely. "
84,TRUE,6,Half of the time,"Valorant,Ghost of Tsushima,SSBM,Fortnite,Minecraft","I think it does. It teaches you how to cooperate with others well, and how to communicate effectively."
88,TRUE,7,Some of the time,"Beastieball,Total War: Warhammer 3,Warno,Rain World,Witcher 3","I think it certainly can do so. It certainly teaches how to communicate information quickly, and how to manage how much communication is necessary."
87,TRUE,5,Most of the time,"Fortnite,Call of Duty,,,",I think its obvious when a group isn't working together vs when they are. I think it makes you more used to working together especially when you enjoy what you're working towards. It will make you all more coordinated and get better faster.  
89,TRUE,1,Some of the time,"The Hunter Call of the Wild ,Binding of Isaac,Far Cry Primal ,,","I think so, I dont play a ton of team games but when I do its pretty obvious I can get a lot better results playing in a team that communicates well. Sometimes being on a unorganized team can not help at all but if we are all communicating well then it is better. I think that could help me because I know that I need to be a good team player to actually get the good team results."
78,TRUE,7,Half of the time,"Marvel Rivals,Super Smash Bros. Melee,Rocket League,Minecraft,Rivals of Aether 2","My gaming does make me a team player. I spent a large portion of my childhood playing only team games with my siblings and friends. Due to this, I find it easier for myself to read how other people are feeling and what they want to do. A lot of people don't realize you need to consider what resources other people have before committing to something. Due to these, I think overall gaming has made me a better team player."
83,TRUE,3,Most of the time,"Call of Duty,FIFA,League of Legends,Pokemon,Madden","Yes, I am very open with communication and using strategy to get the best possible outcome."
91,TRUE,2,Some of the time,"War Thunder,Starfield,Squad,Rocket League,Mario Kart",I think it does because I focus on communication and coordination.
88,TRUE,2,Half of the time,"Fortnite,Minecraft,Zelda (BOTW/TOTK),Rocket League,Smash Ultimate",Working with others to sometimes beat the other team requires working together and working on a plan
89,TRUE,2,Some of the time,"Madden ,Forza Horizon 5,Call of duty,Rocket League,Minecraft",Some of the games I play makes me a team player because it requires me to have an open communication with my teammates in order for me to play the game properly.
22,TRUE,1,Most of the time,"Balatro ,Lethal Company,Ark Survival Evolved,Factorio,Pokemon","Yes, most of the game encourages positive team work, which mean tolerating team mates learning their play style and adapting to it as well as leading them."
96,TRUE,7,Half of the time,"Phasmophobia,Fortnite,Mobile Legends,Marvel Rivals,Overwatch 2","Yes because a lot of the games I play involve teamwork and coordination to ensure that we can win our games. Because of this, I've learned to communicate better when working with others, as this ensures we can complete our gaming tasks effectively and fast."
95,FALSE,,,,
96,FALSE,,,,
96,FALSE,,,,
99,FALSE,,,,
95,FALSE,,,,
102,TRUE,3,Half of the time,"Rocket League,Fortnite,Valorant,Gang Beasts,Overcooked","My gaming can make me a better team player because I have to work with my teammates to win the game. If we do not work together and do not communicate well, it usually is more chaotic and we end up losing quickly. This is especially true for games like Fortnite because if no one has your back you can lose the game easily. It is also helpful in building team spirit because it is more fun to share accomplishments with other than to be all alone. These reasons are why I believe gaming can make me a better team player. "
63,FALSE,,,,
81,TRUE,7,Some of the time,"Ultimate Admiral: Dreadnoughts,Hunt: Showdown 1896,Red Dead Redemption 2,n/a,n/a","Two of my 3 most played games are single player games so it doesn't really matter. But Hunt: Showdown 1896 is a team based game. In order to ""win,"" not only do you have to personally know the environment, weaponry, and other factors, you must also get to know your teammates. What strategies they use, how aggressive they are, what weapons they have, if they want money or to fight other players (a choice that can be made). How they react in stressful situations,, what advice they will give in the pursuit of victory. All of this made in the push and pull relatively slow gameplay of Hunt: Showdown. And this is in a small team or 2 or 3 people total. Putting hundreds of hours into this game has helped tune my eye and behavior in team scenarios."
94,FALSE,,,,
97,FALSE,,,,
98,FALSE,,,,
