final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
53,True,4,Some of the time,"PGA23,OSRS,Fortnite,Pubg,Rocket League","Gaming does seem to improve my teamwork skills. It forces you to explain in detail **specific** situations and strategize in real-time. There is also a large weight on contributing to the team, otherwise the team fails.",COM-CLR,High Frequency
53,True,4,Some of the time,"PGA23,OSRS,Fortnite,Pubg,Rocket League","Gaming does seem to improve my teamwork **skills**. It forces you to explain in detail specific situations and strategize in real-time. There is also a large weight on contributing to the team, otherwise the team fails.",CLB-MNG,High Frequency
53,True,4,Some of the time,"PGA23,OSRS,Fortnite,Pubg,Rocket League","Gaming does seem to improve my teamwork skills. It forces you to explain in detail specific situations and **strategize** in real-time. There is also a large weight on contributing to the team, otherwise the team fails.",PRO-STR,High Frequency
53,True,4,Some of the time,"PGA23,OSRS,Fortnite,Pubg,Rocket League","Gaming does seem to improve my **teamwork** skills. It forces you to explain in detail specific situations and strategize in real-time. There is also a large weight on contributing to the team, otherwise the team fails.",INT-GRP,High Frequency
53,True,4,Some of the time,"PGA23,OSRS,Fortnite,Pubg,Rocket League","Gaming does seem to improve my teamwork skills. It forces you to explain in detail specific situations and strategize in real-time. There is also a large **weight** on contributing to the team, otherwise the team fails.",SEF-DTR,High Frequency
56,True,7,Most of the time,"Spelunky,For Honor,Eldin Ring,Rainbow six siege,Yakuza","I would Gaming definitely makes you a better **team player**. A lot of popular games like counter strike, overwatch, or rainbow six siege require that each person is a **team player** in order to be successful.",INT-GRP,High Frequency
58,True,3,Half of the time,"Fortnite,Overwatch,,,","In many multiplayer games you must work with a team to win, thus earning a shared reward of sorts. I think these environments could promote better communication **skills** for a gamer that would benefit his real life. ",CLB-MNG,Low Frequency
58,True,3,Half of the time,"Fortnite,Overwatch,,,","In many **multiplayer** games you must work with a team to win, thus earning a shared reward of sorts. I think these environments could promote better communication skills for a gamer that would benefit his real life. ",INT-GRP,Low Frequency
62,True,5,Most of the time,"Grand Theft Auto,Rocket League,GTFO,Overwatch,MX vs ATV","Yeah, I believe gaming does make me operate better on a team. I've learned **patience** for my peers as well as the ability to view situations from a different perspective. Following a hard loss it's easy to push the blame onto a single person and avoid the mistakes you yourself made, if you make this a habit, don't expect to win all that much and don't expect to get better at whatever you're playing. When you play as a team you lose as a team and everyone is responsible and it's incredibly important to understand that before entering the workforce. You cannot yourself lead a team to victory and one sole person cannot be responsible for failure.",INT-PAT,High Frequency
62,True,5,Most of the time,"Grand Theft Auto,Rocket League,GTFO,Overwatch,MX vs ATV","Yeah, I believe gaming does make me operate better on a team. I've learned patience for my peers as well as the ability to view situations from a different **perspective**. Following a hard loss it's easy to push the blame onto a single person and avoid the mistakes you yourself made, if you make this a habit, don't expect to win all that much and don't expect to get better at whatever you're playing. When you play as a team you lose as a team and everyone is responsible and it's incredibly important to understand that before entering the workforce. You cannot yourself lead a team to victory and one sole person cannot be responsible for failure.",INT-PER,High Frequency
62,True,5,Most of the time,"Grand Theft Auto,Rocket League,GTFO,Overwatch,MX vs ATV","Yeah, I believe gaming does make me operate better on a team. I've learned patience for my peers as well as the ability to view situations from a different perspective. Following a hard loss it's easy to push the blame onto a single person and avoid the **mistakes** you yourself made, if you make this a habit, don't expect to win all that much and don't expect to get better at whatever you're playing. When you play as a team you lose as a team and everyone is responsible and it's incredibly important to understand that before entering the workforce. You cannot yourself lead a team to victory and one sole person cannot be responsible for failure.",INT-VUL,High Frequency
62,True,5,Most of the time,"Grand Theft Auto,Rocket League,GTFO,Overwatch,MX vs ATV","Yeah, I believe gaming does make me operate better on a team. I've learned patience for my peers as well as the ability to view situations from a different perspective. Following a hard loss it's easy to push the blame onto a single person and avoid the **mistakes** you yourself made, if you make this a habit, don't expect to win all that much and don't expect to get better at whatever you're playing. When you play as a team you lose as a team and everyone is responsible and it's incredibly important to understand that before entering the workforce. You cannot yourself lead a team to victory and one sole person cannot be responsible for failure.",DEF-IRR,High Frequency
64,True,0,Never,"Fallout Vegas,Skyrim,The Old Republic,Fable,Call of Duty (Generically)","I used to game a TON, however I don't have much time for it nowadays. I gravitated towards the RPGs (I spent WAY too much time with the elder scrolls games as well as a certain Star Wars MMO). I tend to be a bit of a **solo** gamer.",DEF-SLO,Low Frequency
68,True,1,Most of the time,"Forza Horizon 5,Call Of duty,Rocket League,Madden ,GTA V",I think it does because it helps improve my communication and expand my way thinking when approaching difficulties or in general playing the game. ,UNCODED,Low Frequency
68,True,2,Some of the time,"Sonic The Hedgehog 3,Roblox,Mega Man,The Powder Toy,Galaga","I assume so because I know when to step in, pitch in, act w/o needing confirmation, and when to let someone else handle situations. ",UNCODED,Low Frequency
69,True,7,Half of the time,"Genshin Impact,Warframe,Rocket League,Minecraft,Baldur's Gate 3","I think definitely, but there's I think a difference between team play in a gaming environment and team play in a development environment. Unless you're talking about being part of a guild in a large MMO or something, then most of your team play in video games are very **short**-term and well contained, where as in a development scenario, you are working in a team for much longer than just the thirty minutes to an hour it takes to finish a League of Legends game or whatever. Video games also require much more snap decision making, something that software development, as long as things are going well, shouldn't require. 

One of the biggest things that I think gaming teaches you about being a team player is the flexibility of leadership. Say I'm in a League of Legends game with my friends; whoever is the designated ""shot-caller"" out of our friends isn't going to be involved in every engagement, especially in low-skill lobbies where team fights are never coordinated and random 2v2 or 3v3 skirmishes happen. Someone has to step up and be a shot caller, and the rest of the people involved have to roll with it. Same in development: there might be someone ""in charge,"" but as a group y'all are still a team, so you need to be flexible with the leadership in smaller situations. 

I think I have a very unique experience in my gaming though, since I take part in running major event servers in Minecraft, and that requires a colossal amount of team work there to make these events go smoothly and make for a good video for the production team. My staff team (of which I'm second-to-top in the chain of command) make sure that the server with around one thousand players goes smoothly and makes for good content. We are a staff of like a dozen people, too, so making sure we're documenting everything for the production team as well as making sure nobody is breaking rules as well as engaging with the players and asking them questions as well as keeping an eye on their individual discord servers requires insane amounts of communication and work delegation. Which, again, is a very unique experience, but it has made me an incredible team player anyway. ",COM-EFF,High Frequency
69,True,7,Half of the time,"Genshin Impact,Warframe,Rocket League,Minecraft,Baldur's Gate 3","I think definitely, but there's I think a difference between team play in a gaming environment and team play in a development environment. Unless you're talking about being part of a guild in a large MMO or something, then most of your team play in video games are very short-term and well contained, where as in a development scenario, you are working in a team for much longer than just the thirty minutes to an hour it takes to finish a League of Legends game or whatever. Video games also require much more snap decision making, something that software development, as long as things are going well, shouldn't require. 

One of the biggest things that I think gaming teaches you about being a team player is the flexibility of leadership. Say I'm in a League of Legends game with my friends; whoever is the designated ""shot-caller"" out of our friends isn't going to be involved in every engagement, especially in low-skill lobbies where team fights are never coordinated and random 2v2 or 3v3 skirmishes happen. Someone has to step up and be a shot caller, and the rest of the people involved have to roll with it. Same in development: there might be someone ""in charge,"" but as a group y'all are still a team, so you need to be flexible with the leadership in smaller situations. 

I think I have a very unique experience in my gaming though, since I take part in running major event servers in Minecraft, and that requires a colossal amount of team work there to make these events go smoothly and make for a good video for the production team. My staff team (of which I'm second-to-top in the chain of command) make sure that the server with around one thousand players goes smoothly and makes for good content. We are a staff of like a dozen people, too, so making sure we're documenting everything for the production team as well as making sure nobody is breaking rules as well as engaging with the players and asking them questions as well as keeping an eye on their individual discord servers requires insane amounts of communication and work **delegation**. Which, again, is a very unique experience, but it has made me an incredible team player anyway. ",CLB-DEL,High Frequency
69,True,7,Half of the time,"Genshin Impact,Warframe,Rocket League,Minecraft,Baldur's Gate 3","I think definitely, but there's I think a difference between team play in a gaming environment and team play in a development environment. Unless you're talking about being part of a guild in a large MMO or something, then most of your team play in video games are very short-term and well contained, where as in a development scenario, you are working in a team for much longer than just the thirty minutes to an hour it takes to finish a League of Legends game or whatever. Video games also require much more snap decision making, something that software development, as long as things are going well, shouldn't require. 

One of the biggest things that I think gaming teaches you about being a team player is the flexibility of leadership. Say I'm in a League of Legends game with my friends; whoever is the designated ""shot-caller"" out of our friends isn't going to be involved in every engagement, especially in low-skill lobbies where team fights are never coordinated and random 2v2 or 3v3 skirmishes happen. Someone has to step up and be a shot caller, and the rest of the people involved have to roll with it. Same in development: there might be someone ""in charge,"" but as a group y'all are still a team, so you need to be **flexible** with the leadership in smaller situations. 

I think I have a very unique experience in my gaming though, since I take part in running major event servers in Minecraft, and that requires a colossal amount of team work there to make these events go smoothly and make for a good video for the production team. My staff team (of which I'm second-to-top in the chain of command) make sure that the server with around one thousand players goes smoothly and makes for good content. We are a staff of like a dozen people, too, so making sure we're documenting everything for the production team as well as making sure nobody is breaking rules as well as engaging with the players and asking them questions as well as keeping an eye on their individual discord servers requires insane amounts of communication and work delegation. Which, again, is a very unique experience, but it has made me an incredible team player anyway. ",PRO-ADP,High Frequency
69,True,7,Half of the time,"Genshin Impact,Warframe,Rocket League,Minecraft,Baldur's Gate 3","I think definitely, but there's I think a difference between team play in a gaming environment and team play in a development environment. Unless you're talking about being part of a guild in a large MMO or something, then most of your team play in video games are very short-term and well contained, where as in a development scenario, you are working in a team for much longer than just the thirty minutes to an hour it takes to finish a League of Legends game or whatever. Video games also require much more snap decision making, something that software development, as long as things are going well, shouldn't require. 

One of the biggest things that I think gaming teaches you about being a **team player** is the flexibility of leadership. Say I'm in a League of Legends game with my friends; whoever is the designated ""shot-caller"" out of our friends isn't going to be involved in every engagement, especially in low-skill lobbies where team fights are never coordinated and random 2v2 or 3v3 skirmishes happen. Someone has to step up and be a shot caller, and the rest of the people involved have to roll with it. Same in development: there might be someone ""in charge,"" but as a **group** y'all are still a team, so you need to be flexible with the leadership in smaller situations. 

I think I have a very unique experience in my gaming though, since I take part in running major event servers in Minecraft, and that requires a colossal amount of team work there to make these events go smoothly and make for a good video for the production team. My staff team (of which I'm second-to-top in the chain of command) make sure that the server with around one thousand players goes smoothly and makes for good content. We are a staff of like a dozen people, too, so making sure we're documenting everything for the production team as well as making sure nobody is breaking rules as well as engaging with the players and asking them questions as well as keeping an eye on their individual discord servers requires insane amounts of communication and work delegation. Which, again, is a very unique experience, but it has made me an incredible **team player** anyway. ",INT-GRP,High Frequency
70,True,4,Half of the time,"Geometry Dash,Minecraft,League of Legends,Roller Coaster Tycoon,Assorted Indie Games",I would say yes. Especially in League of Legends there's a lot of communication required to play well. Whenever I play it's with friends and we're doing call-outs the entire time. The position I play (jungle) is probably the most team work oriented **role** since the **role** is mostly based around getting your team ahead rather than yourself.,CLB-MNG,High Frequency
71,True,7,Always,"call of duty,valorant,n/a,n/a,n/a",Communication is key when working in a team. It helps me figure out the difference between good communication and bad communication.,UNCODED,High Frequency
71,True,2,Some of the time,"Roblox,Star Citizen,Lethal Company,Arkham Games,chained together","I would say so because while it does **help** strengthen you cognitively, I would say depending on who you play with it can also **help** teach you how to handle your emotional intelligence and your reactions to setbacks.",INT-OTH,Low Frequency
72,True,4,Most of the time,"Battlefield 2042,Rainbow Six Siege ,fortnite,fallguys ,outlast","Yes, I play rainbow six siege which is a team based tactical shooter so **working as a team** is essential in this game. It help me comminate with others and understand my position as well as their position.",CLB-COP,High Frequency
72,True,4,Most of the time,"Battlefield 2042,Rainbow Six Siege ,fortnite,fallguys ,outlast","Yes, I play rainbow six siege which is a team based **tactical** shooter so working as a team is essential in this game. It help me comminate with others and understand my position as well as their position.",PRO-STR,High Frequency
72,True,4,Most of the time,"Battlefield 2042,Rainbow Six Siege ,fortnite,fallguys ,outlast","Yes, I play rainbow six siege which is a team based tactical shooter so working as a team is essential in this game. It **help** me comminate with others and understand my position as well as their position.",INT-OTH,High Frequency
73,True,4,Half of the time,"Rainbow Six Siege,Smite ,Jedi Survivor,God of War,Madden",I believe so because I have to work with people who sometimes have varying interests from me in order to achieve a **common goal**. ,PRO-GOL,High Frequency
73,True,7,Most of the time,"Rocket League,Minecraft,Cyberpunk2077,Satisfactory,Rainbow 6 Siege","100% gaming make me a team player. The use of coms and **callouts** are very important in fps games and using my team for support is will always give me an advantage. Even if I do not know my teammates getting to understand how they play is very important in the first few rounds. This helps me figure out a game plan for myself, which in turn can lead to a win.",COM-CLR,High Frequency
73,True,7,Most of the time,"Rocket League,Minecraft,Cyberpunk2077,Satisfactory,Rainbow 6 Siege","100% gaming make me a team player. The use of coms and callouts are very important in fps games and using my team for support is will always give me an advantage. Even if I do not know my teammates getting to understand how they play is very important in the first few rounds. This helps me figure out a **game plan** for myself, which in turn can lead to a win.",PRO-STR,High Frequency
73,True,7,Most of the time,"Rocket League,Minecraft,Cyberpunk2077,Satisfactory,Rainbow 6 Siege","100% gaming make me a **team player**. The use of coms and callouts are very important in fps games and using my team for support is will always give me an advantage. Even if I do not know my teammates getting to understand how they play is very important in the first few rounds. This helps me figure out a game plan for myself, which in turn can lead to a win.",INT-GRP,High Frequency
73,True,7,Most of the time,"Rocket League,Minecraft,Cyberpunk2077,Satisfactory,Rainbow 6 Siege","100% gaming make me a team player. The use of coms and callouts are very important in fps games and using my team for **support** is will always give me an advantage. Even if I do not know my teammates getting to understand how they play is very important in the first few rounds. This helps me figure out a game plan for myself, which in turn can lead to a win.",INT-OTH,High Frequency
73,True,5,Always,"Elden Ring,Rainbow Six Siege,Ready or Not,HOI4,Slay the Spire","As you said above, it is much harder to win when you try to do it alone. Setting goals for each person on a team keeps everyone connected, and when one side/person is dealing with too much, having a team allows them to **support** you and take on some of that weight. ",INT-OTH,High Frequency
73,True,5,Always,"Elden Ring,Rainbow Six Siege,Ready or Not,HOI4,Slay the Spire","As you said above, it is much harder to win when you try to do it alone. Setting goals for each person on a team keeps everyone connected, and when one side/person is dealing with too much, having a team allows them to support you and take on some of that **weight**. ",SEF-DTR,High Frequency
73,True,5,Always,"Elden Ring,Rainbow Six Siege,Ready or Not,HOI4,Slay the Spire","As you said above, it is much harder to win when you try to do it **alone**. Setting goals for each person on a team keeps everyone connected, and when one side/person is dealing with too much, having a team allows them to support you and take on some of that weight. ",DEF-SLO,High Frequency
74,True,5,Half of the time,"Minecraft,Rainbow Six Siege,Hell Divers 2,Bloons TD 6,Rocket League","I think it does because mostly all games I play are cooperative, so you have to be a good team player in order to succeed. One such method that is the most common is communication, which is especially important in tactical games like Rainbow Six Siege or Hell Divers 2 where the game can be decided based on good or bad **callouts** to the rest of the team.",COM-CLR,High Frequency
74,True,5,Half of the time,"Minecraft,Rainbow Six Siege,Hell Divers 2,Bloons TD 6,Rocket League","I think it does because mostly all games I play are **cooperative**, so you have to be a good team player in order to succeed. One such method that is the most common is communication, which is especially important in tactical games like Rainbow Six Siege or Hell Divers 2 where the game can be decided based on good or bad callouts to the rest of the team.",CLB-COP,High Frequency
74,True,5,Half of the time,"Minecraft,Rainbow Six Siege,Hell Divers 2,Bloons TD 6,Rocket League","I think it does because mostly all games I play are cooperative, so you have to be a good team player in order to succeed. One such method that is the most common is communication, which is especially important in **tactical** games like Rainbow Six Siege or Hell Divers 2 where the game can be decided based on good or bad callouts to the rest of the team.",PRO-STR,High Frequency
74,True,5,Half of the time,"Minecraft,Rainbow Six Siege,Hell Divers 2,Bloons TD 6,Rocket League","I think it does because mostly all games I play are cooperative, so you have to be a good **team player** in order to succeed. One such method that is the most common is communication, which is especially important in tactical games like Rainbow Six Siege or Hell Divers 2 where the game can be decided based on good or bad callouts to the rest of the team.",INT-GRP,High Frequency
74,True,2,Some of the time,"TBoI,Elden Ring,Apex,,","A little, as a big part of gaming with others is communication. ",UNCODED,Low Frequency
74,True,2,Some of the time,"Realm of the Mad God,Minecraft,Overwatch 2,Valorant,CS2","I would say yes. I mostly solo queue when playing competitive games like CS2 and Valorant. This has, if anything, given me experience with **cooperating** a wide range of people. Conflict resolution, as well. I don't play that kind of game so much anymore, I really just have the time.

Minecraft feels like an almost better example, thinking to large builds I cooperated with others on in servers.",CLB-COP,Low Frequency
74,True,2,Some of the time,"Realm of the Mad God,Minecraft,Overwatch 2,Valorant,CS2","I would say yes. I mostly **solo** queue when playing competitive games like CS2 and Valorant. This has, if anything, given me experience with cooperating a wide range of people. Conflict resolution, as well. I don't play that kind of game so much anymore, I really just have the time.

Minecraft feels like an almost better example, thinking to large builds I cooperated with others on in servers.",DEF-SLO,Low Frequency
74,True,2,Some of the time,"Mobile,Minecraft,CS2,Overwatch,Valorant","Slightly, but not overwhelmingly. It may **help** me a bit work in a team, but it's not going to **help** me too much",INT-OTH,Low Frequency
74,True,2,Half of the time,"Valorant,Roblox,Minecraft,Bloons Tower Defense Battles 2,Fortnite","Yes, I will use Valorant as an example. Valorant is an FPS where two teams of five compete in round-based matches. One team is defending and one is attacking. Valorant makes you a better team player because you need to be good at communicating to win matches which is a big factor in making teams function effectively. Individual skill does not apply because the movement is limited and gun mechanics are pretty realistic. The way to get the upper hand on your opponent is with strategic planning and giving good **callouts** to your teammates to get the upper hand on your opponent. Communication makes teams tick because it is essential for the team to function effectively otherwise there would just be no point in a team.",COM-CLR,Low Frequency
74,True,2,Half of the time,"Valorant,Roblox,Minecraft,Bloons Tower Defense Battles 2,Fortnite","Yes, I will use Valorant as an example. Valorant is an FPS where two teams of five compete in round-based matches. One team is defending and one is attacking. Valorant makes you a better team player because you need to be good at communicating to win matches which is a big factor in making teams function effectively. Individual skill does not apply because the movement is limited and gun mechanics are pretty realistic. The way to get the upper hand on your opponent is with **strategic** **planning** and giving good callouts to your teammates to get the upper hand on your opponent. Communication makes teams tick because it is essential for the team to function effectively otherwise there would just be no point in a team.",PRO-STR,Low Frequency
74,True,2,Half of the time,"Valorant,Roblox,Minecraft,Bloons Tower Defense Battles 2,Fortnite","Yes, I will use Valorant as an example. Valorant is an FPS where two **teams** of five compete in round-based matches. One team is defending and one is attacking. Valorant makes you a better **team player** because you need to be good at communicating to win matches which is a big factor in making **teams** function effectively. Individual skill does not apply because the movement is limited and gun mechanics are pretty realistic. The way to get the upper hand on your opponent is with strategic planning and giving good callouts to your teammates to get the upper hand on your opponent. Communication makes **teams** tick because it is essential for the team to function effectively otherwise there would just be no point in a team.",INT-GRP,Low Frequency
75,True,0,Always,"GTA V,NBA 2k,CSGO,Call Of Duty ,Mario Party",Trying to effectively get across to someone you just met has grown my communication **skills** a lot.,CLB-MNG,Low Frequency
76,True,3,Most of the time,"FC24,Rainbow Six Siege,NBA 2K24,PGA 2K23,Minecraft","I have never thought about this before, but it definitely does. The game I play the most is Rainbow Six Siege. In this game, you pick operators each round that have different **abilities**. It is a 5v5 game, so you need to strategically pick operators that counter the other teams, with each person playing their own part. You also have a site to protect or attack, depending on the side you are on. Since there are multiple ways to attack one site, the entire team needs to be on the same page whether you're on offense or defense. Essentially winning or losing in this game entirely comes down to teamwork and communication, so I would definitely say that it makes me a better team player.",CLB-MNG,Low Frequency
76,True,3,Most of the time,"FC24,Rainbow Six Siege,NBA 2K24,PGA 2K23,Minecraft","I have never thought about this before, but it definitely does. The game I play the most is Rainbow Six Siege. In this game, you pick operators each round that have different abilities. It is a 5v5 game, so you need to strategically pick operators that counter the other **teams**, with each person playing their own part. You also have a site to protect or attack, depending on the side you are on. Since there are multiple ways to attack one site, the entire team needs to be on the same page whether you're on offense or defense. Essentially winning or losing in this game entirely comes down to **teamwork** and communication, so I would definitely say that it makes me a better **team player**.",INT-GRP,Low Frequency
76,True,2,Most of the time,"Call of Duty\, Minecraft\, Rainbow Six Siege\, Warzone\, Grand Theft Auto,,,,","I would say yes, because it helps you realize how to work with just about anyone, and do your best to work well together to reach a **goal**.",PRO-GOL,Low Frequency
77,False,1,Some of the time,"Brawlhalla,Elden Ring,COD (pretty much all of them),subnatica,God of War",I said false to the first question because I don't play video games that often now but I used to a lot. I liked to play **single player** games but when playing COD it was obvious when everyone had a mic and worked together we did a lot better.,DEF-SLO,Low Frequency
77,True,0,Some of the time,"Skyrim,Minecraft,Red Dead Redemption 2,Digital Combat Simulator: F/A 18 Hornet,Wii Sports Resort","Through a three-year old Minecraft realm with my brother, I've learned how to work with people who can be difficult or particular when it comes to shared projects (architecture, **planning**, etc.). 

I have also played a fair bit of team-based FPS games and they are a great way to develop your charisma and ability to talk to and work with strangers.

 ",PRO-STR,Low Frequency
77,True,7,Some of the time,"fortnite,Counter Strike,skate 3,skater xl,session skate","Absolutely, when playing games, I learn to adapt and adjust to my teammate's play style to achieve victory. It teaches teamwork and team **cooperation**.",CLB-COP,High Frequency
77,True,7,Some of the time,"fortnite,Counter Strike,skate 3,skater xl,session skate","Absolutely, when playing games, I learn to **adapt** and **adjust** to my teammate's play style to achieve victory. It teaches teamwork and team cooperation.",PRO-ADP,High Frequency
77,True,7,Some of the time,"fortnite,Counter Strike,skate 3,skater xl,session skate","Absolutely, when playing games, I learn to adapt and adjust to my teammate's play style to achieve victory. It teaches **teamwork** and team cooperation.",INT-GRP,High Frequency
77,True,7,Some of the time,"My Summer Car,Stellaris,The Ascent,Baldur's Gate 3,Ark: Survival Ascended","Even single player games or modes in some games have made me a better team player, by providing a structured environment where I need to organize my thinking and **plan** ahead or face dire consequences. In particular games like Ark, Frostpunk, and Don't Starve have helped me hold back my impulses which were previously to leap without looking and now tend towards premeditated action with consideration of consequences. By habitually playing games with tight resource management and harsh consequences, I've become more reliable in my decision making, consideration of impact on others, and less prone to impulsive choices that cause problems.",PRO-STR,High Frequency
77,True,7,Some of the time,"My Summer Car,Stellaris,The Ascent,Baldur's Gate 3,Ark: Survival Ascended","Even single player games or modes in some games have made me a better **team player**, by providing a structured environment where I need to organize my thinking and plan ahead or face dire consequences. In particular games like Ark, Frostpunk, and Don't Starve have helped me hold back my impulses which were previously to leap without looking and now tend towards premeditated action with consideration of consequences. By habitually playing games with tight resource management and harsh consequences, I've become more reliable in my decision making, consideration of impact on others, and less prone to impulsive choices that cause problems.",INT-GRP,High Frequency
77,True,7,Some of the time,"My Summer Car,Stellaris,The Ascent,Baldur's Gate 3,Ark: Survival Ascended","Even **single player** games or modes in some games have made me a better team player, by providing a structured environment where I need to organize my thinking and plan ahead or face dire consequences. In particular games like Ark, Frostpunk, and Don't Starve have helped me hold back my impulses which were previously to leap without looking and now tend towards premeditated action with consideration of consequences. By habitually playing games with tight resource management and harsh consequences, I've become more reliable in my decision making, consideration of impact on others, and less prone to impulsive choices that cause problems.",DEF-SLO,High Frequency
77,True,7,Most of the time,"Monster Hunter World,League of Legends,Halo Master Chief Collection,ROTMG,Wuthering Waves","Yes, it really makes you account for the strengths and weaknesses of a certain player, and learn to accommodate/adapt so you can get a clean victory without arguing. I feel that translates to real life almost perfectly, because it is the same concept - using **unity** to get to the end goal with as little as trouble as possible.",CLB-COP,High Frequency
