final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends teams.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a joint **goal** in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up group morale

-Being able to delegate

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",PRO-GOL,High Frequency
39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends **teams**.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a joint goal in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up **group** morale

-Being able to delegate

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",INT-GRP,High Frequency
39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends teams.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a joint goal in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up group **morale**

-Being able to delegate

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",INT-ENC,High Frequency
44,True,1.0,Most of the time,",League of Legends,,,",Yes gaming does make me a better team player. The only way to win the game is to **cooperate** as a team and obtain objectives as a team. It is extremely difficult to win when a player is uncooperative.,CLB-COP,Low Frequency
44,True,1.0,Most of the time,",League of Legends,,,",Yes gaming does make me a better **team player**. The only way to win the game is to cooperate as a team and obtain objectives as a team. It is extremely difficult to win when a player is uncooperative.,INT-GRP,Low Frequency
45,True,5.0,Most of the time,"Genshin Impact,Destiny 2,Hearthstone,Apex,Binding of Issac","You have to understand that when gaming in a team you aren't trying to just win for yourself, you are shooting for a shared goal. Reframing your mind this way allows for people in the group to tackle parts of a problem individually and use their talents and experience to perfect their given part, instead of everyone struggling to do everything. You can split tasks and let everyone focus on their **strengths** and use teamwork to solve in game problems instead of brute force.",CLB-MNG,High Frequency
45,True,5.0,Most of the time,"Genshin Impact,Destiny 2,Hearthstone,Apex,Binding of Issac","You have to understand that when gaming in a team you aren't trying to just win for yourself, you are shooting for a **shared goal**. Reframing your mind this way allows for people in the group to tackle parts of a problem individually and use their talents and experience to perfect their given part, instead of everyone struggling to do everything. You can split tasks and let everyone focus on their strengths and use teamwork to solve in game problems instead of brute force.",PRO-GOL,High Frequency
45,True,5.0,Most of the time,"Genshin Impact,Destiny 2,Hearthstone,Apex,Binding of Issac","You have to understand that when gaming in a team you aren't trying to just win for yourself, you are shooting for a shared goal. Reframing your mind this way allows for people in the **group** to tackle parts of a problem individually and use their talents and experience to perfect their given part, instead of everyone struggling to do everything. You can split tasks and let everyone focus on their strengths and use **teamwork** to solve in game problems instead of brute force.",INT-GRP,High Frequency
55,True,7.0,Some of the time,"The Legend of Zelda: Breath of the Wild,Magic: The Gathering,Destiny 2,New World,","It makes me a better team player in that I'm much better at getting used to teams and working together **quickly**.  This is very important, especially while raiding in D2.  However, it also does make me much more wary of new members of teams, as randomly assigned teams in gaming often results in at least 1 terrible person who you hope to never have the misfortune of meeting again.",COM-EFF,High Frequency
55,True,7.0,Some of the time,"The Legend of Zelda: Breath of the Wild,Magic: The Gathering,Destiny 2,New World,","It makes me a better team player in that I'm much better at getting used to teams and **working together** quickly.  This is very important, especially while raiding in D2.  However, it also does make me much more wary of new members of teams, as randomly assigned teams in gaming often results in at least 1 terrible person who you hope to never have the misfortune of meeting again.",CLB-COP,High Frequency
55,True,7.0,Some of the time,"The Legend of Zelda: Breath of the Wild,Magic: The Gathering,Destiny 2,New World,","It makes me a better **team player** in that I'm much better at getting used to **teams** and working together quickly.  This is very important, especially while raiding in D2.  However, it also does make me much more wary of new members of **teams**, as randomly assigned **teams** in gaming often results in at least 1 terrible person who you hope to never have the misfortune of meeting again.",INT-GRP,High Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the **stress** of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an objective with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda **stressful**, but very rewarding when done right.",COM-PSR,Low Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to **coordinate** a push towards an objective with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",CLB-COP,Low Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a **role** where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an objective with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",CLB-MNG,Low Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based **objective**-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an **objective** with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",PRO-GOL,Low Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a **support** character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to **help**, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an objective with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",INT-OTH,Low Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires **awareness** and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an objective with my team.  It's a good challenge which requires constant **awareness** of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",INT-AWR,Low Frequency
70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are **single-player** because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an objective with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",DEF-SLO,Low Frequency
70,True,1.0,Most of the time,"Apex Legends,Fifa,Ghost of Tsushima,,",Yes. I am forced to communicate with my teammates if I want to win most of the time.,UNCODED,Low Frequency
74,False,1.0,Half of the time,"NBA 2K,FIFA,Call of duty modern warfare,Witcher 3,Batman","It definitely has the potential to make you a better **team player** but in the environments, I have been the **teams** have been very toxic. ",INT-GRP,Low Frequency
74,False,1.0,Half of the time,"NBA 2K,FIFA,Call of duty modern warfare,Witcher 3,Batman","It definitely has the potential to make you a better team player but in the environments, I have been the teams have been very **toxic**. ",DEF-ISO,Low Frequency
75,True,5.0,Most of the time,"Rocket League,Counter Strike : Global Offensive,Slay the Spire,Insurgency Sandstorm,Escape from Tarkov","Yes, there are many roles that need to be filled on a team -- regardless of the activity. Each **role** provides a service for the team to help it towards it goal. Participants are better at some roles while worse at others  -- it is advantageous for the unit if the individual recognizes and plays towards their **strengths**. In addition, people can more easily learn new roles or improve in them with the constructive guidance of a teammate. In theory, the collective **strengths** of the individuals empowers the team by fulfilling obligations and meeting targets while negating weakness and improving overall comprehension.

 

This stuff is obvious when watching professional gaming teams and it has improved my gaming as well as improved my teamwork IRL. ",CLB-MNG,High Frequency
75,True,5.0,Most of the time,"Rocket League,Counter Strike : Global Offensive,Slay the Spire,Insurgency Sandstorm,Escape from Tarkov","Yes, there are many roles that need to be filled on a team -- regardless of the activity. Each role provides a service for the team to help it towards it **goal**. Participants are better at some roles while worse at others  -- it is advantageous for the unit if the individual recognizes and plays towards their strengths. In addition, people can more easily learn new roles or improve in them with the constructive guidance of a teammate. In theory, the collective strengths of the individuals empowers the team by fulfilling obligations and meeting targets while negating weakness and improving overall comprehension.

 

This stuff is obvious when watching professional gaming teams and it has improved my gaming as well as improved my teamwork IRL. ",PRO-GOL,High Frequency
75,True,5.0,Most of the time,"Rocket League,Counter Strike : Global Offensive,Slay the Spire,Insurgency Sandstorm,Escape from Tarkov","Yes, there are many roles that need to be filled on a team -- regardless of the activity. Each role provides a service for the team to help it towards it goal. Participants are better at some roles while worse at others  -- it is advantageous for the unit if the individual recognizes and plays towards their strengths. In addition, people can more easily learn new roles or improve in them with the constructive guidance of a teammate. In theory, the **collective** strengths of the individuals empowers the team by fulfilling obligations and meeting targets while negating weakness and improving overall comprehension.

 

This stuff is obvious when watching professional gaming **teams** and it has improved my gaming as well as improved my **teamwork** IRL. ",INT-GRP,High Frequency
75,True,5.0,Most of the time,"Rocket League,Counter Strike : Global Offensive,Slay the Spire,Insurgency Sandstorm,Escape from Tarkov","Yes, there are many roles that need to be filled on a team -- regardless of the activity. Each role provides a service for the team to **help** it towards it goal. Participants are better at some roles while worse at others  -- it is advantageous for the unit if the individual recognizes and plays towards their strengths. In addition, people can more easily learn new roles or improve in them with the constructive guidance of a teammate. In theory, the collective strengths of the individuals empowers the team by fulfilling obligations and meeting targets while negating weakness and improving overall comprehension.

 

This stuff is obvious when watching professional gaming teams and it has improved my gaming as well as improved my teamwork IRL. ",INT-OTH,High Frequency
76,True,6.0,Most of the time,"valorant,league of legends,monster hunter,,","I don't think so, maybe I misunderstood, in league of legends you play in a team, but it's a team of strangers without much communication, it's less a team and more five people who aren't necessarily working against each other. In order to improve you need to work around what your teammates are doing but online gaming as a team is different than working in a team on a project, a lot of times when on a team game you're encouraged to be the most selfish player, which I don't think helps make you a **team player**. granted playing with friends is completely different I just  usually only play with one two friends so the majority of my teammates are random people..",INT-GRP,High Frequency
76,True,7.0,Half of the time,"Battlefield 2042,Pogostuck,Rainbow Six: Siege,Minecraft,Red Dead Redemption 2","In some ways it does. Most games I play are more for fun and much less competitive, but rainbow six: siege is a great game to improve **teamwork**.",INT-GRP,High Frequency
77,True,3.0,Always,"Call of Duty: Cold War,Call of Duty: Warzone,Grand Theft Auto 5,Fortnite,No Mans Sky","I don't game a ton, I play primarily as a way of keeping in touch with some friends from back home (I'm from New Jersey). The game we play the most by far is Warzone and is very much a team based game. In order to stand a chance against other squads we have to always be communicating and helping each other. I find that if I get impatient with my team and push into a fight too early I almost always end of dying. However when everyone is on the same page and we take a few seconds to plan our approach we can usually win the fight. Playing Warzone has taught me how to communicate with my team and **lean on** each other's strengths. I might be better in close quarters fights whereas my friend is really good at sniping, so when we are deciding how we are going to push an enemy team we take that into account. The same is true for any sort of group project. Planning out how we are going to approach the problem and assigning roles based on individual strengths makes the project go much more smoothly and produces better results. ",CLB-COP,Low Frequency
77,True,3.0,Always,"Call of Duty: Cold War,Call of Duty: Warzone,Grand Theft Auto 5,Fortnite,No Mans Sky","I don't game a ton, I play primarily as a way of keeping in touch with some friends from back home (I'm from New Jersey). The game we play the most by far is Warzone and is very much a team based game. In order to stand a chance against other squads we have to always be communicating and helping each other. I find that if I get impatient with my team and push into a fight too early I almost always end of dying. However when everyone is on the same page and we take a few seconds to plan our approach we can usually win the fight. Playing Warzone has taught me how to communicate with my team and lean on each other's **strengths**. I might be better in close quarters fights whereas my friend is really good at sniping, so when we are deciding how we are going to push an enemy team we take that into account. The same is true for any sort of group project. Planning out how we are going to approach the problem and assigning roles based on **individual strengths** makes the project go much more smoothly and produces better results. ",CLB-MNG,Low Frequency
77,True,3.0,Always,"Call of Duty: Cold War,Call of Duty: Warzone,Grand Theft Auto 5,Fortnite,No Mans Sky","I don't game a ton, I play primarily as a way of keeping in touch with some friends from back home (I'm from New Jersey). The game we play the most by far is Warzone and is very much a team based game. In order to stand a chance against other squads we have to always be communicating and helping each other. I find that if I get impatient with my team and push into a fight too early I almost always end of dying. However when everyone is on the same page and we take a few seconds to **plan** our **approach** we can usually win the fight. Playing Warzone has taught me how to communicate with my team and lean on each other's strengths. I might be better in close quarters fights whereas my friend is really good at sniping, so when we are deciding how we are going to push an enemy team we take that into account. The same is true for any sort of group project. **Planning** out how we are going to **approach** the problem and assigning roles based on individual strengths makes the project go much more smoothly and produces better results. ",PRO-STR,Low Frequency
