final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
97,Computer Science,Senior,13,False,0.0,Some of the time,"Karma,Wacky Six,Phase10,Azul,Sequence","I'm not a video game enthusiast, but I do play board and card games. Most of these games have an individual-based playing style that creates a competitive environment. Occasionally, I have played strategy-based games such as Pandemic or Forbidden Island. Strategy games do facilitate players discussing options and moves that will have different effects of the game play. This requires me to share my ideas while also being open minded to other players’ ideas to the solution. It has taught me to be willing to sacrifice my desires for the greater good of the group. You must learn not to regret past **mistakes** and to continue moving on to the best of your ability. Criticizing other’s ideas that have had a negatively affected the game play cause discontent and friction amount the group. ",INT-VUL,Low Frequency
97,Computer Science,Senior,13,False,0.0,Some of the time,"Karma,Wacky Six,Phase10,Azul,Sequence","I'm not a video game enthusiast, but I do play board and card games. Most of these games have an individual-based playing style that creates a competitive environment. Occasionally, I have played strategy-based games such as Pandemic or Forbidden Island. Strategy games do facilitate players discussing options and moves that will have different effects of the game play. This requires me to share my ideas while also being open minded to other players’ ideas to the solution. It has taught me to be willing to sacrifice my desires for the greater good of the group. You must learn not to regret past **mistakes** and to continue moving on to the best of your ability. Criticizing other’s ideas that have had a negatively affected the game play cause discontent and friction amount the group. ",DEF-IRR,Low Frequency
94,Computer Science,Junior,13,True,4.0,Always,"Overwatch 2,Apex Legends,Elden Ring,Remnant II,The Legend of Zelda","Yeah I would say so. My top 2 games played are multiplayer hero shooters, so I am usually picking the character or class that best fits with whatever my friends are using. I would say that this makes me a better team player because it makes me more **flexible** and able to work with whatever gets thrown my way",PRO-ADP,High Frequency
94,Computer Science,Junior,13,True,4.0,Always,"Overwatch 2,Apex Legends,Elden Ring,Remnant II,The Legend of Zelda","Yeah I would say so. My top 2 games played are **multiplayer** hero shooters, so I am usually picking the character or class that best fits with whatever my friends are using. I would say that this makes me a better **team player** because it makes me more flexible and able to work with whatever gets thrown my way",INT-GRP,High Frequency
98,Computer Science,Junior,10,True,1.0,Most of the time,"Minecraft,Rainbow 6 Siege,Fallout 76,Destiny 2,COD","Even though my friends and I really don't play games competitively and more just for fun, I would say that it does make me a better team player. Through gaming, I get a similar experience to when I played competitive baseball where you have some sort of objective to reach, and everyone has their own roles. When people follow their roles and do their jobs well, you can accomplish your goal as a well organized team. But it also forces you to adapt to different and unexpected circumstances, for example if someone fails at their **role**, then some other people have to pick up the slack in order for the team to be successful. ",CLB-MNG,Low Frequency
98,Computer Science,Junior,10,True,1.0,Most of the time,"Minecraft,Rainbow 6 Siege,Fallout 76,Destiny 2,COD","Even though my friends and I really don't play games competitively and more just for fun, I would say that it does make me a better team player. Through gaming, I get a similar experience to when I played competitive baseball where you have some sort of objective to reach, and everyone has their own roles. When people follow their roles and do their jobs well, you can accomplish your goal as a well organized team. But it also forces you to **adapt to** different and unexpected circumstances, for example if someone fails at their role, then some other people have to pick up the slack in order for the team to be successful. ",PRO-ADP,Low Frequency
98,Computer Science,Junior,10,True,1.0,Most of the time,"Minecraft,Rainbow 6 Siege,Fallout 76,Destiny 2,COD","Even though my friends and I really don't play games competitively and more just for fun, I would say that it does make me a better team player. Through gaming, I get a similar experience to when I played competitive baseball where you have some sort of **objective** to reach, and everyone has their own roles. When people follow their roles and do their jobs well, you can accomplish your **goal** as a well organized team. But it also forces you to adapt to different and unexpected circumstances, for example if someone fails at their role, then some other people have to pick up the slack in order for the team to be successful. ",PRO-GOL,Low Frequency
98,Computer Science,Junior,10,True,1.0,Most of the time,"Minecraft,Rainbow 6 Siege,Fallout 76,Destiny 2,COD","Even though my friends and I really don't play games competitively and more just for fun, I would say that it does make me a better **team player**. Through gaming, I get a similar experience to when I played competitive baseball where you have some sort of objective to reach, and everyone has their own roles. When people follow their roles and do their jobs well, you can accomplish your goal as a well organized team. But it also forces you to adapt to different and unexpected circumstances, for example if someone fails at their role, then some other people have to pick up the slack in order for the team to be successful. ",INT-GRP,Low Frequency
98,Computer Science,Junior,10,True,1.0,Most of the time,"Minecraft,Rainbow 6 Siege,Fallout 76,Destiny 2,COD","Even though my friends and I really don't play games competitively and more just for fun, I would say that it does make me a better team player. Through gaming, I get a similar experience to when I played competitive baseball where you have some sort of objective to reach, and everyone has their own roles. When people **follow** their roles and do their jobs well, you can accomplish your goal as a well organized team. But it also forces you to adapt to different and unexpected circumstances, for example if someone fails at their role, then some other people have to pick up the slack in order for the team to be successful. ",SEF-FLW,Low Frequency
100,Computer Science,Sophomore,14,False,0.0,Never,"N/A,N/A,N/A,N/A,N/A","I am not really a gamer, but a way gaming can make someone a better team player is when people are forced to **work together**. For example, the popular game Fortnite, where if you are playing in teams, you are dropped off in a map where you have to beat all the other teams in the map with you in order for your team to win. In order to win the match, people will happily/willingly **work together** and strive towards winning as a team rather than as an individual. ",CLB-COP,Low Frequency
100,Computer Science,Sophomore,14,False,0.0,Never,"N/A,N/A,N/A,N/A,N/A","I am not really a gamer, but a way gaming can make someone a better **team player** is when people are forced to work together. For example, the popular game Fortnite, where if you are playing in **teams**, you are dropped off in a map where you have to beat all the other **teams** in the map with you in order for your team to win. In order to win the match, people will happily/willingly work together and strive towards winning as a team rather than as an individual. ",INT-GRP,Low Frequency
93,Computer Science,Senior,3,True,4.0,Most of the time,"Overwatch,Rainbow Six Siege,Rocket League,God of War,Call of Duty","Yes it does, it allows me to make call-outs and communicate more clearly with people. It also helps navigating high **pressure** situations by using the strengths and weaknesses of players and their kits to effectively diffuse situations. ",COM-PSR,High Frequency
93,Computer Science,Senior,3,True,4.0,Most of the time,"Overwatch,Rainbow Six Siege,Rocket League,God of War,Call of Duty","Yes it does, it allows me to make call-outs and communicate more **clearly** with people. It also helps navigating high pressure situations by using the strengths and weaknesses of players and their kits to effectively diffuse situations. ",COM-CLR,High Frequency
93,Computer Science,Senior,3,True,4.0,Most of the time,"Overwatch,Rainbow Six Siege,Rocket League,God of War,Call of Duty","Yes it does, it allows me to make call-outs and communicate more clearly with people. It also helps navigating high pressure situations by using the **strengths and weaknesses** of players and their kits to effectively diffuse situations. ",CLB-MNG,High Frequency
80,Exp St: CSU Online,Senior,9,True,4.0,Most of the time,"Rainbow 6,CSGO,Overwatch,Quake,","Yes. Gaming in a team requires good communication to be successful. When the team doesn't communicate, information is lost and people aren't on the same page most of the time. When communicating, everyone can work together and complete the objective of the game in a more **efficient** manner.",COM-EFF,High Frequency
80,Exp St: CSU Online,Senior,9,True,4.0,Most of the time,"Rainbow 6,CSGO,Overwatch,Quake,","Yes. Gaming in a team requires good communication to be successful. When the team doesn't communicate, information is lost and people aren't on the same page most of the time. When communicating, everyone can **work together** and complete the objective of the game in a more efficient manner.",CLB-COP,High Frequency
80,Exp St: CSU Online,Senior,9,True,4.0,Most of the time,"Rainbow 6,CSGO,Overwatch,Quake,","Yes. Gaming in a team requires good communication to be successful. When the team doesn't communicate, information is lost and people aren't on the same page most of the time. When communicating, everyone can work together and complete the **objective** of the game in a more efficient manner.",PRO-GOL,High Frequency
92,Computer Science,Junior,15,True,5.0,Half of the time,"rust,csgo,overwatch 2,fortnite,valorant","I think it might in some ways. There is certainly a lot of communication that goes on in a very **quick** span of time that isn't often seen to this degree of speed in a lot of other hobbies. As far as playing casually I'd say there is some of this dependent on the skill level of the players, though real team building is most often experienced in organized competitive play where split second decisions matter most. ",COM-EFF,High Frequency
98,Computer Science,Junior,13,True,3.0,Some of the time,"Valorant,Terraria,Fallout 4,Death Stranding,Stardew Valley","I would say it does because more people generally means more ideas are brought to the table. When I play with my friends and we all listen to each other's ideas to form a strategy, we do better at the game than when we do not **work together** or listen to each other.",CLB-COP,Low Frequency
98,Computer Science,Junior,13,True,3.0,Some of the time,"Valorant,Terraria,Fallout 4,Death Stranding,Stardew Valley","I would say it does because more people generally means more ideas are brought to the table. When I play with my friends and we all listen to each other's ideas to form a **strategy**, we do better at the game than when we do not work together or listen to each other.",PRO-STR,Low Frequency
93,Computer Science,Senior,16,True,2.0,Always,"Valheim,Risk of Rain 2,7 Days to Die,,","Gaming can help make someone a better team player. Through my experiences with my friends, we all have to **work together** to decide where to spend our skill points, the resources we gather, or the tasks we complete. Making decisions without **coordination** makes the game more challenging for everyone and often results in a worse playing experience.",CLB-COP,Low Frequency
93,Computer Science,Senior,16,True,2.0,Always,"Valheim,Risk of Rain 2,7 Days to Die,,","Gaming can help make someone a better **team player**. Through my experiences with my friends, we all have to work together to decide where to spend our skill points, the resources we gather, or the tasks we complete. Making decisions without coordination makes the game more challenging for everyone and often results in a worse playing experience.",INT-GRP,Low Frequency
93,Computer Science,Senior,16,True,2.0,Always,"Valheim,Risk of Rain 2,7 Days to Die,,","Gaming can **help** make someone a better team player. Through my experiences with my friends, we all have to work together to decide where to spend our skill points, the resources we gather, or the tasks we complete. Making decisions without coordination makes the game more challenging for everyone and often results in a worse playing experience.",INT-OTH,Low Frequency
93,Computer Science,Senior,12,True,5.0,Half of the time,"Baldurs Gate 3,Dota 2 ,Elden Ring,Rocket League,Team Fortress 2","I find that most gamers just want to relax and enjoy themselves with little teamwork or strategy. I am however in a unique situation where I play in a league with my friends in what's known as one of the hardest strategy games on the market right now. This definitely makes us better team players as we have had to develop ways to communicate complex topics with one another during high **pressure** situations. We also have ""meetings"" where we watch our gameplay footage back, which has helped us learn how to communicate about how to improve our teamwork. ",COM-PSR,High Frequency
93,Computer Science,Senior,12,True,5.0,Half of the time,"Baldurs Gate 3,Dota 2 ,Elden Ring,Rocket League,Team Fortress 2","I find that most gamers just want to relax and enjoy themselves with little teamwork or **strategy**. I am however in a unique situation where I play in a league with my friends in what's known as one of the hardest **strategy** games on the market right now. This definitely makes us better team players as we have had to develop ways to communicate complex topics with one another during high pressure situations. We also have ""meetings"" where we watch our gameplay footage back, which has helped us learn how to communicate about how to improve our teamwork. ",PRO-STR,High Frequency
93,Computer Science,Senior,12,True,5.0,Half of the time,"Baldurs Gate 3,Dota 2 ,Elden Ring,Rocket League,Team Fortress 2","I find that most gamers just want to relax and enjoy themselves with little **teamwork** or strategy. I am however in a unique situation where I play in a league with my friends in what's known as one of the hardest strategy games on the market right now. This definitely makes us better **team player**s as we have had to develop ways to communicate complex topics with one another during high pressure situations. We also have ""meetings"" where we watch our gameplay footage back, which has helped us learn how to communicate about how to improve our **teamwork**. ",INT-GRP,High Frequency
89,Computer Science,Junior,17,True,7.0,Most of the time,"Minecraft,COD Warzone,CSGO,League of Legends,GTAV",Most of the games I play are in the competitive genre. All of them involve **working as a team** to perform well or win. I think in this way it helps with making me a better team player.,CLB-COP,High Frequency
89,Computer Science,Junior,17,True,7.0,Most of the time,"Minecraft,COD Warzone,CSGO,League of Legends,GTAV",Most of the games I play are in the competitive genre. All of them involve working as a team to perform well or win. I think in this way it helps with making me a better **team player**.,INT-GRP,High Frequency
75,Computer Science,Senior,16,True,7.0,Most of the time,"League of Legends,Escape From Tarkov,Rocket League,Stardew Valley,Slime Rancher","Absolutely, gaming in most games requires you to **work as a team** and communication is number one in a virtual environment. Since you cannot help them physically control their characters in the game for the most part. For example, if they need help with controls you need to verbally communicate how to do it. Situations such as this may prove for difficult than expected. In a lot of games, similarly to sports, you cannot fully win on your own. Your team is as strong as the weakest link and with that, you need to assist your team in most instances rather than leaving them behind.",CLB-COP,High Frequency
75,Computer Science,Senior,16,True,7.0,Most of the time,"League of Legends,Escape From Tarkov,Rocket League,Stardew Valley,Slime Rancher","Absolutely, gaming in most games requires you to work as a team and communication is number one in a virtual environment. Since you cannot **help** them physically control their characters in the game for the most part. For example, if they need **help** with controls you need to verbally communicate how to do it. Situations such as this may prove for difficult than expected. In a lot of games, similarly to sports, you cannot fully win on your own. Your team is as strong as the weakest link and with that, you need to **assist** your team in most instances rather than leaving them behind.",INT-OTH,High Frequency
75,Computer Science,Senior,16,True,7.0,Most of the time,"League of Legends,Escape From Tarkov,Rocket League,Stardew Valley,Slime Rancher","Absolutely, gaming in most games requires you to work as a team and communication is number one in a virtual environment. Since you cannot help them physically **control** their characters in the game for the most part. For example, if they need help with controls you need to verbally communicate how to do it. Situations such as this may prove for difficult than expected. In a lot of games, similarly to sports, you cannot fully win on your own. Your team is as strong as the weakest link and with that, you need to assist your team in most instances rather than leaving them behind.",CTR-DCT,High Frequency
90,Computer Science,Junior,6,True,4.0,Half of the time,"Minecraft,Destiny 2,League of Legends,Valorant,CSGO","I'd say so. Most of these games can be played with friends and a lot of the content in Destiny 2 revolves around team play and relying on others to complete mechanics. If nothing else, the learned communication translates to other **teamwork**.",INT-GRP,High Frequency
63,Computer Science,Senior,18,True,7.0,Most of the time,"Counter strike,League of legends,Baldurs gate,Teamfight tactics ,Valorant","Yes, because communication when you’re playing with others is key and over my gaming experience I’ve had to learn to communicate and handle the players around me.",UNCODED,High Frequency
78,Computer Science,Senior,12,True,5.0,Most of the time,"Baldurs Gate 3,CSGO,COD,Rocket League,Monster Hunter",I believe it does because I've always been a supportive **role** player that shines by enabling others to do there best. I'd rather succeed as a team than fail as an individual. ,CLB-MNG,High Frequency
85,Computer Science,Senior,17,True,2.0,Most of the time,"Star Wars: Galaxy of Heroes,Destiny 2,Apex Legends,Minecraft,Binding of Isaac","I've learned both when to lead and when to **follow** when gaming because as much as every team needs someone people who know what they are doing, sometimes you have to step back and let others take point even if you have the same knowledge as them.",SEF-FLW,Low Frequency
88,Computer Science,Senior,16,True,7.0,Some of the time,"Minecraft,Overwatch,Pokemon,Animal Crossing,Rainbow Six Siege","I believe it can if you are with friends and people you truly want to **cooperate** with in a **cooperative** game. A lot of games are competitive against your friends though, and many more are simply single player.",CLB-COP,High Frequency
88,Computer Science,Senior,16,True,7.0,Some of the time,"Minecraft,Overwatch,Pokemon,Animal Crossing,Rainbow Six Siege","I believe it can if you are with friends and people you truly want to cooperate with in a cooperative game. A lot of games are competitive against your friends though, and many more are simply **single player**.",DEF-SLO,High Frequency
81,Computer Science,Senior,15,False,1.0,Never,",Call of Duty Black Ops III,,,","No. I only play one game, and it's a really low-skill game I play primarily for the adrenaline rush. I am mostly unaware of my team the entire time I'm playing.",UNCODED,Low Frequency
78,Computer Science,Junior,12,True,1.0,Never,"Beat Saber,VRChat,Skyrim,Minecraft,Civilization 5","I wouldn't say it makes me a better team player. If I'm being perfectly honest, I get much more entertainment out of single-player games than multi-player games. Multiplayer games can be fun, but the process of thinking about other people and what they think of me, and trying to **work together**; that process ends up sucking all of my energy away, because I'm so preoccupied thinking about other people that I can't think about the game itself.

The only multiplayer games I do play are games where I'm either focusing entirely on the social aspect of the game, or I have no need to worry about the social aspect of the game (e.g. VRChat for the former, Beat Saber for the latter). 

Multiplayer competitive games such as Valorant, League of Legends, or Call of Duty end up stressing me out. My team mates are passionate about winning the game, but I have neither the motivation nor the skill to assist them, and I end up simply feeling much worse about myself, while also stressing out the entire time.

I quite enjoy board games like Chess or Go, because while I am playing with another player, all I need to do is focus on what I am doing. And I enjoy the strategy of those kinds of games.

If you haven't noticed I'm quite an introverted person, and I believe that this class will be an incredibly difficult experience for me. ",CLB-COP,Low Frequency
78,Computer Science,Junior,12,True,1.0,Never,"Beat Saber,VRChat,Skyrim,Minecraft,Civilization 5","I wouldn't say it makes me a better team player. If I'm being perfectly honest, I get much more entertainment out of single-player games than multi-player games. Multiplayer games can be fun, but the process of thinking about other people and what they think of me, and trying to work together; that process ends up sucking all of my energy away, because I'm so preoccupied thinking about other people that I can't think about the game itself.

The only multiplayer games I do play are games where I'm either focusing entirely on the social aspect of the game, or I have no need to worry about the social aspect of the game (e.g. VRChat for the former, Beat Saber for the latter). 

Multiplayer competitive games such as Valorant, League of Legends, or Call of Duty end up stressing me out. My team mates are passionate about winning the game, but I have neither the motivation nor the skill to assist them, and I end up simply feeling much worse about myself, while also stressing out the entire time.

I quite enjoy board games like Chess or Go, because while I am playing with another player, all I need to do is focus on what I am doing. And I enjoy the **strategy** of those kinds of games.

If you haven't noticed I'm quite an introverted person, and I believe that this class will be an incredibly difficult experience for me. ",PRO-STR,Low Frequency
78,Computer Science,Junior,12,True,1.0,Never,"Beat Saber,VRChat,Skyrim,Minecraft,Civilization 5","I wouldn't say it makes me a better **team player**. If I'm being perfectly honest, I get much more entertainment out of single-player games than multi-player games. **Multiplayer** games can be fun, but the process of thinking about other people and what they think of me, and trying to work together; that process ends up sucking all of my energy away, because I'm so preoccupied thinking about other people that I can't think about the game itself.

The only **multiplayer** games I do play are games where I'm either focusing entirely on the social aspect of the game, or I have no need to worry about the social aspect of the game (e.g. VRChat for the former, Beat Saber for the latter). 

**Multiplayer** competitive games such as Valorant, League of Legends, or Call of Duty end up stressing me out. My team mates are passionate about winning the game, but I have neither the motivation nor the skill to assist them, and I end up simply feeling much worse about myself, while also stressing out the entire time.

I quite enjoy board games like Chess or Go, because while I am playing with another player, all I need to do is focus on what I am doing. And I enjoy the strategy of those kinds of games.

If you haven't noticed I'm quite an introverted person, and I believe that this class will be an incredibly difficult experience for me. ",INT-GRP,Low Frequency
78,Computer Science,Junior,12,True,1.0,Never,"Beat Saber,VRChat,Skyrim,Minecraft,Civilization 5","I wouldn't say it makes me a better team player. If I'm being perfectly honest, I get much more entertainment out of single-player games than multi-player games. Multiplayer games can be fun, but the process of thinking about other people and what they think of me, and trying to work together; that process ends up sucking all of my energy away, because I'm so preoccupied thinking about other people that I can't think about the game itself.

The only multiplayer games I do play are games where I'm either focusing entirely on the social aspect of the game, or I have no need to worry about the social aspect of the game (e.g. VRChat for the former, Beat Saber for the latter). 

Multiplayer competitive games such as Valorant, League of Legends, or Call of Duty end up stressing me out. My team mates are passionate about winning the game, but I have neither the motivation nor the skill to **assist** them, and I end up simply feeling much worse about myself, while also stressing out the entire time.

I quite enjoy board games like Chess or Go, because while I am playing with another player, all I need to do is focus on what I am doing. And I enjoy the strategy of those kinds of games.

If you haven't noticed I'm quite an introverted person, and I believe that this class will be an incredibly difficult experience for me. ",INT-OTH,Low Frequency
78,Computer Science,Junior,12,True,1.0,Never,"Beat Saber,VRChat,Skyrim,Minecraft,Civilization 5","I wouldn't say it makes me a better team player. If I'm being perfectly honest, I get much more entertainment out of single-player games than multi-player games. Multiplayer games can be fun, but the process of thinking about other people and what they think of me, and trying to work together; that process ends up sucking all of my energy away, because I'm so preoccupied thinking about other people that I can't think about the game itself.

The only multiplayer games I do play are games where I'm either focusing entirely on the social aspect of the game, or I have no need to worry about the social aspect of the game (e.g. VRChat for the former, Beat Saber for the latter). 

Multiplayer competitive games such as Valorant, League of Legends, or Call of Duty end up stressing me out. My team mates are passionate about winning the game, but I have neither the **motivation** nor the skill to assist them, and I end up simply feeling much worse about myself, while also stressing out the entire time.

I quite enjoy board games like Chess or Go, because while I am playing with another player, all I need to do is focus on what I am doing. And I enjoy the strategy of those kinds of games.

If you haven't noticed I'm quite an introverted person, and I believe that this class will be an incredibly difficult experience for me. ",INT-ENC,Low Frequency
78,Computer Science,Junior,12,True,1.0,Never,"Beat Saber,VRChat,Skyrim,Minecraft,Civilization 5","I wouldn't say it makes me a better team player. If I'm being perfectly honest, I get much more entertainment out of **single-player** games than multi-player games. Multiplayer games can be fun, but the process of thinking about other people and what they think of me, and trying to work together; that process ends up sucking all of my energy away, because I'm so preoccupied thinking about other people that I can't think about the game itself.

The only multiplayer games I do play are games where I'm either focusing entirely on the social aspect of the game, or I have no need to worry about the social aspect of the game (e.g. VRChat for the former, Beat Saber for the latter). 

Multiplayer competitive games such as Valorant, League of Legends, or Call of Duty end up stressing me out. My team mates are passionate about winning the game, but I have neither the motivation nor the skill to assist them, and I end up simply feeling much worse about myself, while also stressing out the entire time.

I quite enjoy board games like Chess or Go, because while I am playing with another player, all I need to do is focus on what I am doing. And I enjoy the strategy of those kinds of games.

If you haven't noticed I'm quite an introverted person, and I believe that this class will be an incredibly difficult experience for me. ",DEF-SLO,Low Frequency
78,Computer Science,Senior,12,True,1.0,Some of the time,"Madden,Assassin's Creed ,Call of Duty ,NBA 2K,Skyrim","I think it does, most importantly I think it really helps in improving communication **skills**, and helps build upon new or existing connections between teammates that form strong bonds. ",CLB-MNG,Low Frequency
75,Computer Science,Senior,9,True,7.0,Always,"Fifa,Apex legends,Ghosts of tsushima,,","It helps In a sense of needing to be supportive to teammates to allow the whole team ti succeed. But I also often find myself ruling out a player from our team games if they prove to be detrimentally incompetent. This would mean being hesitant to support them, protect them, or just generally letting them go off and do their own thing while the rest of us **work as a team**",CLB-COP,High Frequency
75,Computer Science,Senior,9,True,7.0,Always,"Fifa,Apex legends,Ghosts of tsushima,,","It helps In a sense of needing to be supportive to teammates to allow the whole team ti succeed. But I also often find myself ruling out a player from our team games if they prove to be detrimentally incompetent. This would mean being hesitant to **support** them, protect them, or just generally letting them go off and do their own thing while the rest of us work as a team",INT-OTH,High Frequency
75,Computer Science,Senior,9,True,7.0,Always,"Fifa,Apex legends,Ghosts of tsushima,,","It helps In a sense of needing to be supportive to teammates to allow the whole team ti succeed. But I also often find myself ruling out a player from our team games if they prove to be detrimentally incompetent. This would **mean** being hesitant to support them, protect them, or just generally letting them go off and do their own thing while the rest of us work as a team",DEF-ISO,High Frequency
94,Computer Science,Junior,12,True,2.0,Most of the time,"Fortnite,Fifa 23,Counter-Strike: Global Offensive,Apex Legends,Valorant","Playing with a team can have both pros and cons. Personally, I like when I play with a team more than playing solo because I always prefer **collaboration** and teamwork, learning from others, and a competitive environment. But what I don't like when playing with a team is conflict and communication issues.

 ",CLB-COP,Low Frequency
